Age,Gender,Country,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence,Cluster,Persona
37,Female,United States,Yes,No,Yes,Often,6-25,No,Yes,Yes,No,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes,No,2,Mature Silent Sufferers
44,Male,United States,Yes,No,No,Rarely,More than 1000,No,No,No,No,No,No,No,Don't know,Maybe,No,No,No,No,No,Don't know,No,0,Open Advocates
32,Male,Canada,No,No,No,Rarely,6-25,No,Yes,No,No,No,No,No,Somewhat difficult,No,No,Yes,Yes,Yes,Yes,No,No,2,Mature Silent Sufferers
31,Male,United Kingdom,No,Yes,Yes,Often,26-100,No,Yes,No,Yes,No,No,No,Somewhat difficult,Yes,Yes,Some of them,No,Maybe,Maybe,No,Yes,1,Corporate Hidden Strugglers
31,Male,United States,No,No,No,Never,100-500,Yes,Yes,Yes,No,No,No,No,Don't know,No,No,Some of them,Yes,Yes,Yes,Don't know,No,1,Corporate Hidden Strugglers
33,Male,United States,No,Yes,No,Sometimes,6-25,No,Yes,Yes,No,No,No,No,Don't know,No,No,Yes,Yes,No,Maybe,Don't know,No,1,Corporate Hidden Strugglers
35,Female,United States,No,Yes,Yes,Sometimes,1-5,Yes,Yes,No,No,No,No,No,Somewhat difficult,Maybe,Maybe,Some of them,No,No,No,Don't know,No,1,Corporate Hidden Strugglers
39,Male,Canada,No,No,No,Never,1-5,Yes,Yes,No,Yes,No,No,Yes,Don't know,No,No,No,No,No,No,No,No,1,Corporate Hidden Strugglers
42,Female,United States,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,Very difficult,Maybe,No,Yes,Yes,No,Maybe,No,No,0,Open Advocates
23,Male,Canada,No,No,No,Never,26-100,No,Yes,No,No,No,No,No,Don't know,No,No,Yes,Yes,Maybe,Maybe,Yes,No,1,Corporate Hidden Strugglers
31,Male,United States,No,No,Yes,Sometimes,6-25,Yes,Yes,No,No,No,No,No,Don't know,No,No,Some of them,Yes,No,No,Don't know,No,1,Corporate Hidden Strugglers
29,Male,Other,No,No,No,Never,100-500,Yes,Yes,No,No,No,No,No,Don't know,No,No,Yes,Yes,Yes,Yes,Don't know,No,1,Corporate Hidden Strugglers
42,Female,United States,No,Yes,Yes,Sometimes,26-100,No,No,Yes,Yes,No,No,No,Somewhat difficult,Yes,Yes,Yes,Yes,Maybe,Maybe,No,Yes,2,Mature Silent Sufferers
36,Male,United States,No,Yes,No,Never,500-1000,No,Yes,No,No,No,No,No,Don't know,No,No,Yes,Yes,No,No,Don't know,No,0,Open Advocates
27,Male,Canada,No,No,No,Never,6-25,No,Yes,No,No,No,No,No,Somewhat easy,No,No,Some of them,Some of them,Maybe,Yes,Yes,No,2,Mature Silent Sufferers
29,Female,United States,No,Yes,Yes,Rarely,26-100,No,Yes,Yes,No,No,No,No,Somewhat easy,No,No,Yes,Some of them,Maybe,Maybe,Don't know,No,2,Mature Silent Sufferers
23,Male,United Kingdom,No,No,Yes,Sometimes,26-100,Yes,Yes,No,No,No,No,No,Very easy,Maybe,No,Some of them,No,Maybe,Maybe,No,No,2,Mature Silent Sufferers
32,Male,United States,No,No,Yes,Sometimes,6-25,No,Yes,Yes,Yes,No,No,No,Don't know,Maybe,No,Some of them,Yes,No,No,No,No,1,Corporate Hidden Strugglers
46,Male,United States,Yes,Yes,No,Sometimes,1-5,Yes,Yes,Yes,No,Yes,No,Yes,Very easy,No,No,Yes,Yes,No,Yes,Yes,Yes,2,Mature Silent Sufferers
36,Male,Other,Yes,Yes,No,Sometimes,6-25,Yes,Yes,No,No,Yes,No,Yes,Somewhat easy,No,No,Some of them,Some of them,Maybe,Maybe,Don't know,No,2,Mature Silent Sufferers
